0.000000	0.000000
1.000000	0.654389
2.000000	1.236740
3.000000	1.682942
4.000000	1.943876
5.000000	1.990816
6.000000	1.818595
7.000000	1.446172
8.000000	0.914545
9.000000	0.282240
10.000000	-0.381136
11.000000	-1.002554
12.000000	-1.513605
13.000000	-1.858029
14.000000	-1.997910
15.000000	-1.917849
16.000000	-1.626659
17.000000	-1.156396
18.000000	-0.558831
19.000000	0.100254
20.000000	0.748302
21.000000	1.313973
22.000000	1.734994
23.000000	1.965016
24.000000	1.978716
25.000000	1.774588
26.000000	1.375102
27.000000	0.824237
28.000000	0.182634
29.000000	-0.479074
30.000000	-1.088042
